Unnamed: 0,company_name,dc_date,dc_daily_count
9520,Basic Bank Limited,2024-04-19,1506
8833,Basic Bank Limited,2021-06-15,72
9522,Basic Bank Limited,2024-04-22,11953
9262,Basic Bank Limited,2023-04-21,1
9162,Basic Bank Limited,2022-06-28,23
9176,Basic Bank Limited,2022-07-19,40
8734,Basic Bank Limited,2020-09-16,2
8924,Basic Bank Limited,2021-09-14,84
9194,Basic Bank Limited,2022-10-11,20
9229,Basic Bank Limited,2023-01-30,3
9165,Basic Bank Limited,2022-07-03,39
9495,Basic Bank Limited,2024-03-14,13308
9217,Basic Bank Limited,2023-01-05,1
9529,Basic Bank Limited,2024-04-30,13596
9276,Basic Bank Limited,2023-06-06,1
9063,Basic Bank Limited,2022-01-31,68
9233,Basic Bank Limited,2023-02-08,2
9302,Basic Bank Limited,2023-08-02,12131
9225,Basic Bank Limited,2023-01-19,2
9182,Basic Bank Limited,2022-07-27,52
9100,Basic Bank Limited,2022-03-27,65
9336,Basic Bank Limited,2023-09-08,753
8811,Basic Bank Limited,2021-05-23,31
8880,Basic Bank Limited,2021-08-01,18
9125,Basic Bank Limited,2022-05-05,16
8950,Basic Bank Limited,2021-10-10,57
9533,Basic Bank Limited,2024-05-06,13809
9093,Basic Bank Limited,2022-03-15,48
9084,Basic Bank Limited,2022-03-02,33
9411,Basic Bank Limited,2023-12-01,5159
9041,Basic Bank Limited,2022-01-09,57
8865,Basic Bank Limited,2021-07-17,19
9160,Basic Bank Limited,2022-06-26,24
8986,Basic Bank Limited,2021-11-15,46
9255,Basic Bank Limited,2023-04-02,2
8787,Basic Bank Limited,2021-04-29,41
9239,Basic Bank Limited,2023-02-25,1
9419,Basic Bank Limited,2023-12-09,1488
9257,Basic Bank Limited,2023-04-08,1
9472,Basic Bank Limited,2024-02-13,12056
9164,Basic Bank Limited,2022-06-30,23
8936,Basic Bank Limited,2021-09-26,240
9320,Basic Bank Limited,2023-08-20,11570
9315,Basic Bank Limited,2023-08-15,1316
9038,Basic Bank Limited,2022-01-06,77
9064,Basic Bank Limited,2022-02-01,38
9157,Basic Bank Limited,2022-06-21,38
8792,Basic Bank Limited,2021-05-04,62
8931,Basic Bank Limited,2021-09-21,198
9372,Basic Bank Limited,2023-10-20,1535
9342,Basic Bank Limited,2023-09-15,1242
9314,Basic Bank Limited,2023-08-14,11190
9161,Basic Bank Limited,2022-06-27,22
9177,Basic Bank Limited,2022-07-20,37
9334,Basic Bank Limited,2023-09-06,2376
9226,Basic Bank Limited,2023-01-20,1
9375,Basic Bank Limited,2023-10-23,7559
9366,Basic Bank Limited,2023-10-14,1332
9493,Basic Bank Limited,2024-03-12,11930
9348,Basic Bank Limited,2023-09-21,10511
9066,Basic Bank Limited,2022-02-03,23
9566,Basic Bank Limited,2024-06-16,5178
8822,Basic Bank Limited,2021-06-03,58
9534,Basic Bank Limited,2024-05-07,11859
8913,Basic Bank Limited,2021-09-03,2
9188,Basic Bank Limited,2022-08-04,40
9232,Basic Bank Limited,2023-02-06,2
9478,Basic Bank Limited,2024-02-19,12304
8890,Basic Bank Limited,2021-08-11,59
8801,Basic Bank Limited,2021-05-13,18
9051,Basic Bank Limited,2022-01-19,61
8863,Basic Bank Limited,2021-07-15,160
8776,Basic Bank Limited,2021-04-18,38
9329,Basic Bank Limited,2023-08-30,10448
8802,Basic Bank Limited,2021-05-14,12
9168,Basic Bank Limited,2022-07-06,72
9540,Basic Bank Limited,2024-05-13,12467
9130,Basic Bank Limited,2022-05-12,49
9083,Basic Bank Limited,2022-03-01,45
9286,Basic Bank Limited,2023-07-03,2
8971,Basic Bank Limited,2021-10-31,64
8867,Basic Bank Limited,2021-07-19,44
8814,Basic Bank Limited,2021-05-26,24
8897,Basic Bank Limited,2021-08-18,56
8896,Basic Bank Limited,2021-08-17,79
8760,Basic Bank Limited,2021-04-02,3
9399,Basic Bank Limited,2023-11-19,11479
8925,Basic Bank Limited,2021-09-15,145
